,0
1/1/1970,40.06986089
2/1/1970,29.72274968
3/1/1970,24.23406439
4/1/1970,23.06777272
5/1/1970,28.98201476
6/1/1970,50.83627712
7/1/1970,186.6656572
8/1/1970,388.9429467
9/1/1970,407.5692828
10/1/1970,238.1617114
11/1/1970,110.0565345
12/1/1970,62.63277253
1/1/1971,41.95703402
2/1/1971,32.09795837
3/1/1971,25.12199803
4/1/1971,20.63026753
5/1/1971,26.59653226
6/1/1971,47.23073275
7/1/1971,111.4748943
8/1/1971,302.1899222
9/1/1971,383.9054299
10/1/1971,299.1977439
11/1/1971,181.4909448
12/1/1971,85.0504972
1/1/1972,49.97941987
2/1/1972,34.16332677
3/1/1972,24.68213064
4/1/1972,28.14082473
5/1/1972,41.41396738
6/1/1972,89.46333128
7/1/1972,217.632323
8/1/1972,413.3050336
9/1/1972,455.7499386
10/1/1972,316.8766091
11/1/1972,170.2678078
12/1/1972,82.05061616
1/1/1973,47.86332483
2/1/1973,33.37896633
3/1/1973,24.35296261
4/1/1973,20.39851644
5/1/1973,28.51415453
6/1/1973,58.8525016
7/1/1973,195.0004074
8/1/1973,460.1737185
9/1/1973,505.183724
10/1/1973,261.4651022
11/1/1973,98.17742031
12/1/1973,54.84666761
1/1/1974,35.56189008
2/1/1974,26.38706827
3/1/1974,21.24744826
4/1/1974,21.47818184
5/1/1974,26.16065828
6/1/1974,46.86788381
7/1/1974,130.4900172
8/1/1974,329.9053
9/1/1974,361.2705839
10/1/1974,203.2508998
11/1/1974,91.00439259
12/1/1974,47.3101624
1/1/1975,32.08877155
2/1/1975,24.16857873
3/1/1975,20.49975317
4/1/1975,22.65729521
5/1/1975,43.2745638
6/1/1975,104.2098591
7/1/1975,260.0833999
8/1/1975,471.0323635
9/1/1975,454.9976608
10/1/1975,262.0729574
11/1/1975,127.2840464
12/1/1975,63.2463161
1/1/1976,41.80375326
2/1/1976,28.25775863
3/1/1976,22.98688435
4/1/1976,21.84561714
5/1/1976,29.65041917
6/1/1976,67.91680347
7/1/1976,198.9883337
8/1/1976,351.6491034
9/1/1976,306.0709581
10/1/1976,201.4802687
11/1/1976,158.6975929
12/1/1976,94.76404941
1/1/1977,43.78926577
2/1/1977,29.11036135
3/1/1977,24.33374377
4/1/1977,19.51827043
5/1/1977,23.38806613
6/1/1977,54.49951886
7/1/1977,206.9020173
8/1/1977,487.9115969
9/1/1977,560.6568971
10/1/1977,442.4265158
11/1/1977,246.4675157
12/1/1977,94.97814072
1/1/1978,52.32567974
2/1/1978,36.95191778
3/1/1978,26.50647829
4/1/1978,20.6213379
5/1/1978,32.37524352
6/1/1978,70.56315869
7/1/1978,215.4897852
8/1/1978,459.40787
9/1/1978,466.1783975
10/1/1978,388.1219636
11/1/1978,243.0252049
12/1/1978,92.97635603
1/1/1979,50.68603743
2/1/1979,35.39494412
3/1/1979,26.59543455
4/1/1979,22.91864453
5/1/1979,28.42046658
6/1/1979,59.16909578
7/1/1979,172.027408
8/1/1979,415.6632461
9/1/1979,447.3892548
10/1/1979,320.1456657
11/1/1979,211.1593415
12/1/1979,100.6972825
1/1/1980,55.55878983
2/1/1980,37.37440918
3/1/1980,28.6476075
4/1/1980,25.74436095
5/1/1980,28.32419327
6/1/1980,65.06605497
7/1/1980,216.1864363
8/1/1980,478.1632044
9/1/1980,494.2650849
10/1/1980,278.9417381
11/1/1980,142.2517412
12/1/1980,83.39840623
1/1/1981,49.68576711
2/1/1981,37.74711489
3/1/1981,31.08243918
4/1/1981,25.17915912
5/1/1981,23.45414308
6/1/1981,47.24974739
7/1/1981,155.3389345
8/1/1981,331.5249509
9/1/1981,343.1354852
10/1/1981,199.2578087
11/1/1981,97.78283154
12/1/1981,54.79116504
1/1/1982,34.75955243
2/1/1982,24.00331252
3/1/1982,20.68295092
4/1/1982,19.47270963
5/1/1982,19.47975101
6/1/1982,33.3026426
7/1/1982,136.1567825
8/1/1982,440.3036821
9/1/1982,490.7902338
10/1/1982,294.5739604
11/1/1982,143.2781098
12/1/1982,61.39620002
1/1/1983,36.30854515
2/1/1983,26.279779
3/1/1983,19.61381485
4/1/1983,16.46104097
5/1/1983,20.15585273
6/1/1983,45.61160437
7/1/1983,157.622229
8/1/1983,407.3890833
9/1/1983,444.2698698
10/1/1983,262.3225197
11/1/1983,131.2438782
12/1/1983,65.45751097
1/1/1984,37.56191352
2/1/1984,27.03264508
3/1/1984,20.40871673
4/1/1984,18.96319086
5/1/1984,22.50321645
6/1/1984,39.07396479
7/1/1984,122.2522609
8/1/1984,265.282948
9/1/1984,282.1837584
10/1/1984,167.5806637
11/1/1984,81.97492094
12/1/1984,43.5869699
1/1/1985,26.20597799
2/1/1985,18.80635997
3/1/1985,14.07972775
4/1/1985,12.15294942
5/1/1985,20.83263168
6/1/1985,47.63887137
7/1/1985,132.6201249
8/1/1985,400.3745924
9/1/1985,463.0915139
10/1/1985,277.6970383
11/1/1985,128.5788196
12/1/1985,55.05642362
1/1/1986,32.63873739
2/1/1986,23.68982481
3/1/1986,18.77167204
4/1/1986,16.25393079
5/1/1986,23.7087864
6/1/1986,56.90462881
7/1/1986,199.2050599
8/1/1986,438.4079437
9/1/1986,467.4512027
10/1/1986,278.5213091
11/1/1986,123.5944165
12/1/1986,57.03911893
1/1/1987,33.52099656
2/1/1987,25.65616094
3/1/1987,20.86293683
4/1/1987,16.62345375
5/1/1987,17.83343717
6/1/1987,40.43653001
7/1/1987,171.4719101
8/1/1987,430.6038018
9/1/1987,565.5482357
10/1/1987,372.7445543
11/1/1987,153.1668782
12/1/1987,71.74028772
1/1/1988,44.1828348
2/1/1988,31.15610685
3/1/1988,24.21033471
4/1/1988,20.36628056
5/1/1988,25.60554321
6/1/1988,47.6068525
7/1/1988,142.9241378
8/1/1988,375.1379504
9/1/1988,391.1389048
10/1/1988,203.3785788
11/1/1988,106.3721747
12/1/1988,65.5643114
1/1/1989,37.89525227
2/1/1989,26.76237471
3/1/1989,21.01367423
4/1/1989,18.39886331
5/1/1989,20.61662583
6/1/1989,49.12697521
7/1/1989,214.2084338
8/1/1989,414.3519567
9/1/1989,418.7831301
10/1/1989,275.4538305
11/1/1989,164.2405492
12/1/1989,86.58733967
